v(v_in),v(out),v(c1),v(c2),v(tail)
1.800000000000001321e-01,5.012999832518132074e-08,4.999999906819178719e+00,3.137282227276925184e+00,1.868893565666304157e+00
1.820000000000001339e-01,5.012999832523717859e-08,4.999999906828580087e+00,3.137282227311342986e+00,1.868893565666798207e+00
1.840000000000001357e-01,5.012999832529300998e-08,4.999999906837979680e+00,3.137282227261378509e+00,1.868893565666115864e+00
1.860000000000001374e-01,5.012999832534887445e-08,4.999999906847380160e+00,3.137282227290538739e+00,1.868893565666471579e+00
1.880000000000001392e-01,5.012999832540472568e-08,4.999999906856780640e+00,3.137282227297729431e+00,1.868893565666616352e+00
1.900000000000001410e-01,5.012999832546057030e-08,4.999999906866180233e+00,3.137282227328594519e+00,1.868893565667053114e+00
1.920000000000001428e-01,5.012999832551642153e-08,4.999999906875580713e+00,3.137282227322569117e+00,1.868893565666989831e+00
1.940000000000001446e-01,5.012999832557227277e-08,4.999999906884980305e+00,3.137282227314668326e+00,1.868893565666860379e+00
1.960000000000001463e-01,5.012999832562813062e-08,4.999999906894379897e+00,3.137282227347323982e+00,1.868893565667318013e+00
1.980000000000001481e-01,5.012999832568395539e-08,4.999999906903780378e+00,3.137282227359147413e+00,1.868893565667518075e+00
2.000000000000001499e-01,5.012999832573981986e-08,4.999999906913179970e+00,3.137282227346158692e+00,1.868893565667331780e+00
2.020000000000001517e-01,5.012999832579567109e-08,4.999999906922579562e+00,3.137282227345192354e+00,1.868893565667299361e+00
2.040000000000001534e-01,5.012999832585152233e-08,4.999999906931980043e+00,3.137282227367161891e+00,1.868893565667615997e+00
2.060000000000001552e-01,5.012999832590737356e-08,4.999999906941380523e+00,3.137282227380520094e+00,1.868893565667826495e+00
2.080000000000001570e-01,5.012999832596322480e-08,4.999999906950780115e+00,3.137282227390154610e+00,1.868893565667966161e+00
2.100000000000001588e-01,5.012999832601905618e-08,4.999999906960180596e+00,3.137282227378701105e+00,1.868893565667805401e+00
